SRA716153,SRS3384795,CD34+ cord blood cells,10x chromium,Homo sapiens,3306,view
SRA719952,SRS3407249,NK cells,10x chromium,Homo sapiens,"22,589",view
SRA605365,SRS2492922,Nasal airway epithelium,10x chromium,Homo sapiens,1932,view
SRA688526,SRS3164178,Cortical organoids,10x chromium,Homo sapiens,2306,view
SRA688526,SRS3164179,Cortical organoids,10x chromium,Homo sapiens,2329,view
SRA729910,SRS3474726,Lung airway epithelial cells,10x chromium,Homo sapiens,4319,view
SRA729910,SRS3474727,Lung airway epithelial cells,10x chromium,Homo sapiens,4597,view
SRA769176,SRS3747746,T cells,10x chromium,Homo sapiens,1170,view
SRA769176,SRS3747747,T cells,10x chromium,Homo sapiens,1647,view
SRA769176,SRS3747748,T cells,10x chromium,Homo sapiens,764,view
SRA703206,SRS3296611,Colon,10x chromium,Homo sapiens,4826,view
SRA703206,SRS3296612,Colon,10x chromium,Homo sapiens,6476,view
SRA703206,SRS3296613,Colon (Ulcerative Colitis),10x chromium,Homo sapiens,3497,view
SRA703206,SRS3296614,Colon (Ulcerative Colitis),10x chromium,Homo sapiens,4651,view
SRA760933,SRS3693061,Hepatocyte-derived liver progenitor-like cells,10x chromium,Homo sapiens,8030,view
SRA749327,SRS3693908,Merkel Cell Carcinoma,10x chromium,Homo sapiens,2532,view
SRA749327,SRS3693909,Merkel Cell Carcinoma,10x chromium,Homo sapiens,5627,view
SRA749327,SRS3693910,PBMC,10x chromium,Homo sapiens,1929,view
SRA749327,SRS3693911,PBMC,10x chromium,Homo sapiens,1536,view
SRA749327,SRS3693912,PBMC,10x chromium,Homo sapiens,1352,view
SRA749327,SRS3693913,PBMC,10x chromium,Homo sapiens,3744,view
SRA768499,SRS3744979,NK cells from spleen,10x chromium,Homo sapiens,1229,view
SRA768499,SRS3744980,NK cells from spleen,10x chromium,Homo sapiens,1200,view
SRA768499,SRS3744981,NK cells from blood,10x chromium,Homo sapiens,1401,view
SRA768499,SRS3744982,NK cells from blood,10x chromium,Homo sapiens,1211,view
SRA768499,SRS3744983,NK cells from blood,10x chromium,Homo sapiens,1612,view
SRA768499,SRS3744990,NK cells from spleen,10x chromium,Homo sapiens,1683,view
SRA740174,SRS3548780,Bone marrow,10x chromium,Homo sapiens,665,view
SRA740174,SRS3548781,Bone marrow,10x chromium,Homo sapiens,1059,view
SRA740174,SRS3548782,Bone marrow,10x chromium,Homo sapiens,681,view
SRA740174,SRS3548783,Bone marrow,10x chromium,Homo sapiens,1035,view
SRA779509,SRS3805245,Bone marrow,10x chromium,Homo sapiens,6248,view
SRA779509,SRS3805246,Bone marrow,10x chromium,Homo sapiens,6024,view
SRA779509,SRS3805247,Bone marrow,10x chromium,Homo sapiens,7623,view
SRA779509,SRS3805248,Bone marrow,10x chromium,Homo sapiens,6395,view
SRA779509,SRS3805249,Bone marrow,10x chromium,Homo sapiens,1133,view
SRA779509,SRS3805250,Bone marrow,10x chromium,Homo sapiens,5208,view
SRA779509,SRS3805251,Bone marrow,10x chromium,Homo sapiens,5345,view
SRA779509,SRS3805252,Bone marrow,10x chromium,Homo sapiens,5540,view
SRA779509,SRS3805253,Bone marrow,10x chromium,Homo sapiens,5203,view
SRA779509,SRS3805254,Bone marrow,10x chromium,Homo sapiens,5500,view
SRA779509,SRS3805255,Bone marrow,10x chromium,Homo sapiens,7559,view
SRA779509,SRS3805256,Bone marrow,10x chromium,Homo sapiens,4958,view
SRA779509,SRS3805257,Bone marrow,10x chromium,Homo sapiens,5496,view
SRA779509,SRS3805258,Bone marrow,10x chromium,Homo sapiens,5683,view
SRA779509,SRS3805259,Bone marrow,10x chromium,Homo sapiens,6032,view
SRA779509,SRS3805260,Bone marrow,10x chromium,Homo sapiens,3987,view
SRA779509,SRS3805261,Bone marrow,10x chromium,Homo sapiens,1829,view
SRA779509,SRS3805262,Bone marrow,10x chromium,Homo sapiens,6431,view
SRA779509,SRS3805263,Bone marrow,10x chromium,Homo sapiens,6052,view
SRA779509,SRS3805264,Bone marrow,10x chromium,Homo sapiens,992,view
SRA779509,SRS3805265,Bone marrow,10x chromium,Homo sapiens,5735,view
SRA779509,SRS3805266,Bone marrow,10x chromium,Homo sapiens,6210,view
SRA779509,SRS3805267,Bone marrow,10x chromium,Homo sapiens,3966,view
SRA779509,SRS3805268,Bone marrow,10x chromium,Homo sapiens,5603,view
SRA779509,SRS3805269,Bone marrow,10x chromium,Homo sapiens,5934,view
SRA660949,SRS2990317,Umbilical cord blood,10x chromium,Homo sapiens,1284,view
SRA660949,SRS2990318,Umbilical cord blood,10x chromium,Homo sapiens,4955,view
SRA795539,SRS3947512,Spleen,10x chromium,Homo sapiens,2569,view
SRA795539,SRS3947513,Spleen,10x chromium,Homo sapiens,3487,view
SRA784242,SRS3822680,Testicular cells,10x chromium,Homo sapiens,2487,view
SRA784242,SRS3822682,Testicular cells,10x chromium,Homo sapiens,2455,view
SRA784242,SRS3822683,Testicular cells,10x chromium,Homo sapiens,1631,view
SRA784242,SRS3822686,Testicular cells,10x chromium,Homo sapiens,1580,view
SRA716608,SRS3391629,Liver,10x chromium,Homo sapiens,4190,view
SRA716608,SRS3391630,Liver,10x chromium,Homo sapiens,4719,view
SRA716608,SRS3391631,Liver,10x chromium,Homo sapiens,1425,view
SRA716608,SRS3391632,Liver,10x chromium,Homo sapiens,6158,view
SRA716608,SRS3391633,Liver,10x chromium,Homo sapiens,6806,view
SRA667709,SRS3065426,Testicle,10x chromium,Homo sapiens,2777,view
SRA667709,SRS3065427,Testicle,10x chromium,Homo sapiens,3045,view
SRA667709,SRS3065428,Testicle,10x chromium,Homo sapiens,3007,view
SRA667709,SRS3065429,Testicle,10x chromium,Homo sapiens,3066,view
SRA667709,SRS3065430,Testicle,10x chromium,Homo sapiens,4020,view
SRA667709,SRS3065431,Testicle,10x chromium,Homo sapiens,3586,view
SRA782908,SRS3815597,Placenta,10x chromium,Homo sapiens,3618,view
SRA782908,SRS3815600,Placenta,10x chromium,Homo sapiens,7205,view
SRA782908,SRS3815606,Decidua,10x chromium,Homo sapiens,4131,view
SRA814476,SRS4073850,T cells,10x chromium,Homo sapiens,1975,view
SRA794656,SRS3937924,T cells,10x chromium,Homo sapiens,1878,view
SRA794656,SRS3937926,T cells,10x chromium,Homo sapiens,1289,view
SRA763890,SRS3720957,Blood CD8+ T lymphocytes,10x chromium,Homo sapiens,2334,view
SRA763890,SRS3720958,Blood CD8+ T lymphocytes,10x chromium,Homo sapiens,1226,view
SRA763890,SRS3720959,Blood CD8+ T lymphocytes,10x chromium,Homo sapiens,2208,view
SRA645804,SRS2823404,Testis,10x chromium,Homo sapiens,4197,view
SRA645804,SRS2823405,Testis,10x chromium,Homo sapiens,3598,view
SRA645804,SRS2823406,Testis,10x chromium,Homo sapiens,3989,view
SRA645804,SRS2823407,Testis,10x chromium,Homo sapiens,4046,view
SRA645804,SRS2823408,Testis,10x chromium,Homo sapiens,4306,view
SRA645804,SRS2823409,Testis,10x chromium,Homo sapiens,4791,view
SRA645804,SRS2823410,Testis,10x chromium,Homo sapiens,4045,view
SRA645804,SRS2823411,Testis,10x chromium,Homo sapiens,2167,view
SRA645804,SRS2823412,Testis,10x chromium,Homo sapiens,5299,view
SRA645804,SRS3572594,Testis,10x chromium,Homo sapiens,4574,view
SRA823298,SRS4144446,Alpha cells,10x chromium,Homo sapiens,264,view
SRA823298,SRS4144447,Beta cells,10x chromium,Homo sapiens,676,view
SRA823298,SRS4144448,Alpha cells,10x chromium,Homo sapiens,1962,view
SRA784304,SRS3823100,Pancreatic progenitor cells,10x chromium,Homo sapiens,4958,view
SRA709816,SRS3331831,ES-derived kidney organoid,10x chromium,Homo sapiens,2667,view
SRA709816,SRS3331832,ES-derived kidney organoid,10x chromium,Homo sapiens,2836,view
SRA709816,SRS3331833,ES-derived kidney organoid,10x chromium,Homo sapiens,2900,view
SRA709816,SRS3331834,ES-derived kidney organoid,10x chromium,Homo sapiens,2751,view
SRA742961,SRS3565195,Prostate,10x chromium,Homo sapiens,6101,view
SRA742961,SRS3565196,Prostate,10x chromium,Homo sapiens,7789,view
SRA742961,SRS3565197,Prostate,10x chromium,Homo sapiens,"11,468",view
SRA742961,SRS3565198,Prostate,10x chromium,Homo sapiens,7718,view
SRA742961,SRS3565199,Prostate,10x chromium,Homo sapiens,8069,view
SRA742961,SRS3565201,Prostate,10x chromium,Homo sapiens,7479,view
SRA742961,SRS3565202,Prostate,10x chromium,Homo sapiens,5804,view
SRA742961,SRS3565203,Prostate,10x chromium,Homo sapiens,6453,view
SRA742961,SRS3565204,Prostate,10x chromium,Homo sapiens,5198,view
SRA742961,SRS3565205,Prostate,10x chromium,Homo sapiens,4813,view
SRA742961,SRS3565206,Prostate,10x chromium,Homo sapiens,6950,view
SRA742961,SRS3565207,Prostate,10x chromium,Homo sapiens,6323,view
SRA742961,SRS3565208,Prostate,10x chromium,Homo sapiens,8538,view
SRA742961,SRS3565209,Prostate,10x chromium,Homo sapiens,7132,view
SRA742961,SRS3565210,Prostate,10x chromium,Homo sapiens,5923,view
SRA742961,SRS3565211,Prostate,10x chromium,Homo sapiens,6264,view
SRA826293,SRS4181123,Testis,10x chromium,Homo sapiens,4876,view
SRA826293,SRS4181124,Testis,10x chromium,Homo sapiens,3307,view
SRA826293,SRS4181125,Testis,10x chromium,Homo sapiens,3931,view
SRA826293,SRS4181126,Testis,10x chromium,Homo sapiens,5464,view
SRA826293,SRS4181127,Testis,10x chromium,Homo sapiens,5705,view
SRA826293,SRS4181128,Testis,10x chromium,Homo sapiens,6198,view
SRA826293,SRS4181129,Testis,10x chromium,Homo sapiens,7860,view
SRA826293,SRS4181130,Testis,10x chromium,Homo sapiens,9028,view
SRA834109,SRS4247443,Lymphoblastoid cell line,10x chromium,Homo sapiens,6851,view
SRA661790,SRS2995081,Monocyte-derived macrophages,10x chromium,Homo sapiens,2768,view
SRA661790,SRS2995082,Monocyte-derived macrophages,10x chromium,Homo sapiens,2692,view
SRA661790,SRS2995083,Monocyte-derived macrophages,10x chromium,Homo sapiens,2682,view
SRA661790,SRS2995084,Monocyte-derived macrophages,10x chromium,Homo sapiens,3117,view
SRA665712,SRS3034950,T cells,10x chromium,Homo sapiens,"10,979",view
SRA665712,SRS3034951,T cells,10x chromium,Homo sapiens,"14,332",view
SRA665712,SRS3034952,T cells,10x chromium,Homo sapiens,7788,view
SRA665712,SRS3034953,T cells,10x chromium,Homo sapiens,"12,974",view
SRA676027,SRS3102136,Embryonic stem cell line,10x chromium,Homo sapiens,3455,view
SRA676027,SRS3102137,Embryonic stem cell line,10x chromium,Homo sapiens,4622,view
SRA676027,SRS3102138,Embryonic stem cell line,10x chromium,Homo sapiens,4803,view
SRA676027,SRS3102139,Embryonic stem cell line,10x chromium,Homo sapiens,6733,view
SRA676027,SRS3102140,Embryonic stem cell line,10x chromium,Homo sapiens,5557,view
SRA676027,SRS3102144,Embryonic stem cell line,10x chromium,Homo sapiens,2862,view
