,sample,judgment,R1,R2
0,SRS2253536,no_fastq,0,0
1,SRS2808714,no_fastq,0,0
2,SRS3078084,no_fastq,0,0
3,SRS3166675,no_fastq,0,0
4,SRS2532367,shortR1,25,31
5,SRS2532368,shortR1,25,31
6,SRS2532369,shortR1,25,31
7,SRS2532370,shortR1,25,31
8,SRS2532371,shortR1,25,31
9,SRS2532373,shortR1,25,31
10,SRS2259441,no_fastq,0,0
11,SRS2259442,no_fastq,0,0
12,SRS2431648,no_fastq,0,0
13,SRS2431649,no_fastq,0,0
14,SRS1876783,no_fastq,0,0
15,SRS1876784,no_fastq,0,0
16,SRS1876785,no_fastq,0,0
17,SRS1876786,no_fastq,0,0
18,SRS1876787,no_fastq,0,0
19,SRS1876788,no_fastq,0,0
20,SRS1876789,no_fastq,0,0
21,SRS1876790,no_fastq,0,0
22,SRS1876791,no_fastq,0,0
23,SRS1876792,no_fastq,0,0
24,SRS1876793,no_fastq,0,0
25,SRS1876794,no_fastq,0,0
26,SRS1876795,no_fastq,0,0
27,SRS1876796,no_fastq,0,0
28,SRS2093772,no_fastq,0,0
29,SRS2747908,no_fastq,0,0
30,SRS2747909,no_fastq,0,0
31,SRS2302658,no_fastq,0,0
32,SRS2302659,no_fastq,0,0
33,SRS2302660,no_fastq,0,0
34,SRS3331501,no_fastq,0,0
35,SRS3331503,no_fastq,0,0
36,SRS3331504,no_fastq,0,0
37,SRS3059941,no_fastq,0,0
38,SRS3059942,no_fastq,0,0
39,SRS3059943,no_fastq,0,0
40,SRS3059944,no_fastq,0,0
41,SRS3059945,no_fastq,0,0
42,SRS3059946,no_fastq,0,0
43,SRS3059947,no_fastq,0,0
44,SRS3059948,no_fastq,0,0
45,SRS3059949,no_fastq,0,0
46,SRS3059950,no_fastq,0,0
47,SRS3059951,no_fastq,0,0
48,SRS3059952,no_fastq,0,0
49,SRS3059953,no_fastq,0,0
50,SRS3059954,no_fastq,0,0
51,SRS3059955,no_fastq,0,0
52,SRS3059956,no_fastq,0,0
53,SRS3059957,no_fastq,0,0
54,SRS3059958,no_fastq,0,0
55,SRS3059959,no_fastq,0,0
56,SRS3059960,no_fastq,0,0
57,SRS3059961,no_fastq,0,0
58,SRS3059963,no_fastq,0,0
59,SRS3059964,no_fastq,0,0
60,SRS3059965,no_fastq,0,0
61,SRS3059966,no_fastq,0,0
62,SRS3059967,no_fastq,0,0
63,SRS3059968,no_fastq,0,0
64,SRS3059969,no_fastq,0,0
65,SRS3059970,no_fastq,0,0
66,SRS3059971,no_fastq,0,0
67,SRS3059972,no_fastq,0,0
68,SRS3059973,no_fastq,0,0
69,SRS3059974,no_fastq,0,0
70,SRS3059975,no_fastq,0,0
71,SRS3059976,no_fastq,0,0
72,SRS3059977,no_fastq,0,0
73,SRS3059978,no_fastq,0,0
74,SRS3059979,no_fastq,0,0
75,SRS3059980,no_fastq,0,0
76,SRS3059981,no_fastq,0,0
77,SRS3059982,no_fastq,0,0
78,SRS3059983,no_fastq,0,0
79,SRS3059984,no_fastq,0,0
80,SRS3059985,no_fastq,0,0
81,SRS3059986,no_fastq,0,0
82,SRS3059987,no_fastq,0,0
83,SRS3059988,no_fastq,0,0
84,SRS3059989,no_fastq,0,0
85,SRS3059990,no_fastq,0,0
86,SRS3059991,no_fastq,0,0
87,SRS3059992,no_fastq,0,0
88,SRS3059993,no_fastq,0,0
89,SRS3059994,no_fastq,0,0
90,SRS3059995,no_fastq,0,0
91,SRS3059996,no_fastq,0,0
92,SRS3059997,no_fastq,0,0
93,SRS3059998,not_paired,0,0
94,SRS3059999,not_paired,0,0
95,SRS3060000,no_fastq,0,0
96,SRS3060001,no_fastq,0,0
97,SRS3060002,no_fastq,0,0
98,SRS3060003,no_fastq,0,0
99,SRS3060004,no_fastq,0,0
100,SRS3060005,no_fastq,0,0
101,SRS3060006,no_fastq,0,0
102,SRS3060007,no_fastq,0,0
103,SRS3060008,no_fastq,0,0
104,SRS3060009,no_fastq,0,0
105,SRS3060010,no_fastq,0,0
106,SRS3060011,no_fastq,0,0
107,SRS3060012,no_fastq,0,0
108,SRS3060013,no_fastq,0,0
109,SRS3060014,no_fastq,0,0
110,SRS3060015,no_fastq,0,0
111,SRS3060016,no_fastq,0,0
112,SRS3060017,no_fastq,0,0
113,SRS3060018,no_fastq,0,0
114,SRS3060019,no_fastq,0,0
115,SRS3060020,no_fastq,0,0
116,SRS3060021,no_fastq,0,0
117,SRS3060022,no_fastq,0,0
118,SRS3060023,no_fastq,0,0
119,SRS3060024,no_fastq,0,0
120,SRS3060025,no_fastq,0,0
121,SRS3060026,no_fastq,0,0
122,SRS3060027,no_fastq,0,0
123,SRS3060028,no_fastq,0,0
124,SRS3060029,no_fastq,0,0
125,SRS3060030,no_fastq,0,0
126,SRS3060031,no_fastq,0,0
127,SRS3060032,no_fastq,0,0
128,SRS3060033,no_fastq,0,0
129,SRS3060034,no_fastq,0,0
130,SRS3060035,no_fastq,0,0
131,SRS3060036,no_fastq,0,0
132,SRS3060037,no_fastq,0,0
133,SRS3060038,no_fastq,0,0
134,SRS3060039,no_fastq,0,0
135,SRS3060040,no_fastq,0,0
136,SRS3060041,no_fastq,0,0
137,SRS3060042,no_fastq,0,0
138,SRS3060043,no_fastq,0,0
139,SRS3060044,no_fastq,0,0
140,SRS3060045,no_fastq,0,0
141,SRS3060046,no_fastq,0,0
142,SRS3060047,no_fastq,0,0
143,SRS3060048,no_fastq,0,0
144,SRS3060049,no_fastq,0,0
145,SRS3060050,no_fastq,0,0
146,SRS3060051,no_fastq,0,0
147,SRS3060052,no_fastq,0,0
148,SRS3060053,no_fastq,0,0
149,SRS3060054,no_fastq,0,0
150,SRS3060055,no_fastq,0,0
151,SRS3060056,no_fastq,0,0
152,SRS3060057,no_fastq,0,0
153,SRS3060058,no_fastq,0,0
154,SRS3060059,no_fastq,0,0
155,SRS3060060,no_fastq,0,0
156,SRS3060061,no_fastq,0,0
157,SRS3060062,no_fastq,0,0
158,SRS3060063,no_fastq,0,0
159,SRS3060064,no_fastq,0,0
160,SRS3060065,no_fastq,0,0
161,SRS1915124,no_fastq,0,0
162,SRS3060066,no_fastq,0,0
163,SRS3060067,no_fastq,0,0
164,SRS3060068,no_fastq,0,0
165,SRS3060069,no_fastq,0,0
166,SRS3060070,no_fastq,0,0
167,SRS3060071,no_fastq,0,0
168,SRS1915125,no_fastq,0,0
169,SRS1915126,no_fastq,0,0
170,SRS1915127,no_fastq,0,0
171,SRS1915128,no_fastq,0,0
172,SRS1915129,no_fastq,0,0
173,SRS1915130,no_fastq,0,0
174,SRS1915131,no_fastq,0,0
175,SRS1915132,no_fastq,0,0
176,SRS1915133,no_fastq,0,0
177,SRS1915134,no_fastq,0,0
178,SRS1915135,no_fastq,0,0
179,SRS1915136,no_fastq,0,0
180,SRS1915137,not_paired,0,0
181,SRS1915138,no_fastq,0,0
182,SRS1915139,no_fastq,0,0
183,SRS1915140,no_fastq,0,0
184,SRS1915141,no_fastq,0,0
185,SRS1915142,no_fastq,0,0
186,SRS1915143,no_fastq,0,0
187,SRS1915144,no_fastq,0,0
188,SRS1915145,no_fastq,0,0
189,SRS1915146,no_fastq,0,0
190,SRS1915147,no_fastq,0,0
191,SRS1915148,no_fastq,0,0
192,SRS1915149,no_fastq,0,0
193,SRS1915150,no_fastq,0,0
194,SRS1915151,no_fastq,0,0
195,SRS1915152,no_fastq,0,0
196,SRS1915153,no_fastq,0,0
197,SRS1915154,no_fastq,0,0
198,SRS1915155,no_fastq,0,0
199,SRS1915156,no_fastq,0,0
200,SRS1915157,no_fastq,0,0
201,SRS1915158,no_fastq,0,0
202,SRS1915159,no_fastq,0,0
203,SRS1915160,no_fastq,0,0
204,SRS1915161,no_fastq,0,0
205,SRS1915162,no_fastq,0,0
206,SRS1915163,no_fastq,0,0
207,SRS1915164,no_fastq,0,0
208,SRS1915165,no_fastq,0,0
209,SRS1915166,no_fastq,0,0
210,SRS1915167,no_fastq,0,0
211,SRS1915168,no_fastq,0,0
212,SRS1915169,no_fastq,0,0
213,SRS1915170,no_fastq,0,0
214,SRS1915171,no_fastq,0,0
215,SRS1915172,no_fastq,0,0
216,SRS1915173,no_fastq,0,0
217,SRS1915174,no_fastq,0,0
218,SRS1915175,no_fastq,0,0
219,SRS1915176,no_fastq,0,0
220,SRS1915177,not_paired,0,0
221,SRS1915178,no_fastq,0,0
222,SRS1915179,no_fastq,0,0
223,SRS1915180,no_fastq,0,0
224,SRS1915181,no_fastq,0,0
225,SRS1915182,no_fastq,0,0
226,SRS1915183,no_fastq,0,0
227,SRS1915184,no_fastq,0,0
228,SRS1915185,no_fastq,0,0
229,SRS1915186,no_fastq,0,0
230,SRS1915187,not_paired,0,0
231,SRS1915188,no_fastq,0,0
232,SRS1915189,no_fastq,0,0
233,SRS1915190,no_fastq,0,0
234,SRS1915191,no_fastq,0,0
235,SRS1915192,no_fastq,0,0
236,SRS1915193,no_fastq,0,0
237,SRS1915194,no_fastq,0,0
238,SRS1915195,no_fastq,0,0
239,SRS1915196,no_fastq,0,0
240,SRS1915197,no_fastq,0,0
241,SRS1915198,no_fastq,0,0
242,SRS1915199,no_fastq,0,0
243,SRS1915200,no_fastq,0,0
244,SRS1915201,no_fastq,0,0
245,SRS1915202,no_fastq,0,0
246,SRS1915203,no_fastq,0,0
247,SRS1915204,no_fastq,0,0
248,SRS1915205,no_fastq,0,0
249,SRS1915206,no_fastq,0,0
250,SRS1915207,no_fastq,0,0
251,SRS1915208,no_fastq,0,0
252,SRS1915209,no_fastq,0,0
253,SRS1915210,no_fastq,0,0
254,SRS1915211,no_fastq,0,0
255,SRS1915212,no_fastq,0,0
256,SRS1915213,no_fastq,0,0
257,SRS1915214,no_fastq,0,0
258,SRS1915215,no_fastq,0,0
259,SRS1915216,no_fastq,0,0
260,SRS1915217,no_fastq,0,0
261,SRS1915218,no_fastq,0,0
262,SRS1915219,no_fastq,0,0
263,SRS1915220,no_fastq,0,0
264,SRS1915221,no_fastq,0,0
265,SRS1915222,no_fastq,0,0
266,SRS1915223,no_fastq,0,0
267,SRS1915224,no_fastq,0,0
268,SRS1915225,no_fastq,0,0
269,SRS1915226,no_fastq,0,0
270,SRS1915227,no_fastq,0,0
271,SRS1915228,no_fastq,0,0
272,SRS1915229,no_fastq,0,0
273,SRS1915230,no_fastq,0,0
274,SRS1915231,no_fastq,0,0
275,SRS1915232,no_fastq,0,0
276,SRS1915233,no_fastq,0,0
277,SRS1915234,no_fastq,0,0
278,SRS1915235,no_fastq,0,0
279,SRS1915236,no_fastq,0,0
280,SRS1915237,no_fastq,0,0
281,SRS1915238,no_fastq,0,0
282,SRS1915239,no_fastq,0,0
283,SRS1915240,no_fastq,0,0
284,SRS1915241,no_fastq,0,0
285,SRS1915242,no_fastq,0,0
286,SRS1915243,no_fastq,0,0
287,SRS1915244,no_fastq,0,0
288,SRS1915245,no_fastq,0,0
289,SRS1915246,no_fastq,0,0
290,SRS1915247,no_fastq,0,0
291,SRS1915248,no_fastq,0,0
292,SRS1915249,no_fastq,0,0
293,SRS1915250,no_fastq,0,0
294,SRS1915251,no_fastq,0,0
295,SRS1915252,no_fastq,0,0
296,SRS1915253,no_fastq,0,0
297,SRS1915254,no_fastq,0,0
298,SRS1915255,no_fastq,0,0
299,SRS1915256,no_fastq,0,0
300,SRS2641016,no_fastq,0,0
301,SRS2641017,no_fastq,0,0
302,SRS2641018,no_fastq,0,0
303,SRS2641019,no_fastq,0,0
304,SRS2641020,no_fastq,0,0
305,SRS2641021,no_fastq,0,0
306,SRS2641022,no_fastq,0,0
307,SRS2641023,no_fastq,0,0
308,SRS2749416,no_fastq,0,0
309,SRS2749446,no_fastq,0,0
310,SRS2766801,no_fastq,0,0
311,SRS2766803,no_fastq,0,0
312,SRS2781555,longR1,101,101
313,SRS2781556,longR1,101,101
314,SRS3030316,no_fastq,0,0
315,SRS3030317,no_fastq,0,0
316,SRS2135625,no_fastq,0,0
317,SRS2135626,no_fastq,0,0
318,SRS2135627,no_fastq,0,0
319,SRS2757538,shortR1,26,98
320,SRS2757539,longR1,101,101
321,SRS2736124,no_fastq,0,0
322,SRS2736126,no_fastq,0,0
323,SRS2736127,no_fastq,0,0
324,SRS2736128,no_fastq,0,0
325,SRS2736129,no_fastq,0,0
326,SRS2477904,no_fastq,0,0
